Id,SalePrice
1461,109500
1462,150000
1463,181000
1464,181000
1465,180000
1466,178000
1467,173000
1468,177000
1469,180000
1470,97000
1471,181000
1472,89500
1473,88000
1474,148500
1475,133000
1476,451950
1477,287090
1478,320000
1479,319000
1480,466500
1481,249700
1482,202500
1483,169990
1484,160200
1485,180000
1486,225000
1487,348000
1488,227000
1489,208300
1490,208900
1491,195000
1492,88000
1493,180000
1494,290000
1495,348000
1496,221000
1497,224500
1498,151000
1499,151000
1500,151000
1501,168500
1502,148800
1503,367294
1504,230000
1505,221000
1506,223000
1507,260000
1508,227875
1509,154000
1510,98600
1511,140000
1512,143000
1513,187000
1514,141000
1515,190000
1516,159000
1517,148000
1518,143000
1519,213000
1520,141000
1521,157900
1522,167000
1523,100000
1524,118000
1525,128500
1526,132000
1527,93000
1528,115000
1529,142000
1530,159000
1531,138887
1532,98000
1533,143000
1534,115000
1535,115000
1536,67000
1537,120500
1538,164000
1539,163000
1540,160000
1541,178000
1542,140000
1543,234000
1544,80000
1545,95000
1546,114500
1547,91500
1548,132500
1549,122900
1550,162900
1551,136000
1552,118500
1553,127000
1554,78000
1555,119000
1556,116000
1557,85000
1558,80000
1559,130000
1560,139000
1561,136500
1562,125000
1563,116050
1564,194000
1565,125000
1566,260000
1567,73000
1568,211000
1569,135000
1570,88000
1571,131000
1572,157000
1573,233170
1574,179900
1575,212000
1576,211000
1577,195400
1578,128000
1579,148000
1580,188000
1581,130250
1582,112500
1583,305900
1584,219500
1585,140000
1586,72500
1587,119000
1588,157900
1589,119900
1590,125000
1591,80000
1592,143000
1593,141000
1594,98000
1595,115000
1596,234000
1597,154300
1598,168500
1599,147000
1600,189000
1601,68500
1602,116000
1603,108500
1604,275000
1605,230000
1606,171500
1607,190000
1608,172500
1609,195400
1610,167500
1611,162000
1612,179600
1613,181000
1614,119500
1615,88000
1616,88000
1617,83500
1618,127000
1619,144000
1620,335000
1621,143000
1622,169500
1623,324000
1624,211000
1625,127500
1626,218000
1627,181000
1628,248000
1629,163900
1630,278000
1631,215000
1632,260400
1633,180000
1634,175000
1635,165600
1636,173000
1637,190000
1638,190000
1639,193500
1640,260000
1641,157000
1642,237000
1643,280000
1644,231500
1645,205000
1646,148000
1647,170000
1648,154000
1649,136500
1650,120500
1651,120500
1652,100000
1653,94500
1654,155000
1655,127500
1656,148500
1657,155000
1658,146000
1659,133000
1660,107000
1661,437154
1662,446261
1663,372500
1664,466500
1665,377500
1666,147000
1667,276000
1668,318000
1669,264561
1670,239000
1671,260000
1672,755000
1673,309000
1674,248900
1675,194700
1676,196000
1677,224000
1678,386250
1679,415298
1680,318061
1681,264132
1682,285000
1683,171750
1684,163990
1685,174000
1686,185000
1687,180000
1688,225000
1689,183500
1690,180000
1691,162000
1692,248000
1693,180000
1694,183200
1695,180000
1696,290000
1697,180000
1698,403000
1699,350000
1700,219500
1701,240000
1702,318000
1703,245350
1704,318000
1705,202500
1706,380000
1707,227680
1708,179600
1709,315500
1710,282922
1711,239900
1712,216837
1713,240000
1714,201000
1715,183000
1716,199900
1717,142500
1718,84500
1719,200000
1720,279500
1721,155000
1722,147000
1723,159000
1724,244600
1725,236000
1726,187000
1727,180000
1728,179400
1729,158900
1730,112000
1731,128500
1732,129000
1733,62383
1734,143000
1735,115000
1736,114500
1737,305900
1738,196500
1739,260000
1740,200000
1741,158000
1742,168500
1743,183900
1744,275000
1745,197900
1746,242000
1747,215000
1748,250000
1749,179900
1750,157000
1751,226000
1752,133500
1753,167000
1754,192000
1755,145000
1756,110000
1757,109500
1758,148000
1759,145000
1760,150750
1761,168500
1762,152000
1763,174000
1764,108500
1765,197900
1766,185000
1767,196000
1768,135000
1769,241500
1770,149900
1771,139000
1772,165000
1773,139000
1774,223000
1775,139000
1776,55993
1777,115000
1778,118500
1779,120000
1780,131000
1781,125000
1782,124900
1783,139000
1784,101000
1785,139400
1786,135000
1787,140000
1788,60000
1789,135000
1790,34900
1791,200000
1792,165000
1793,131500
